"age_group","value","state","substance"
18to25,38,Georgia,cocaine
26plus,85,Georgia,cocaine
All,125,Georgia,cocaine
12to17,0,Hawaii,cocaine
18to25,7,Hawaii,cocaine
26plus,20,Hawaii,cocaine
All,28,Hawaii,cocaine
12to17,1,Idaho,cocaine
18to25,7,Idaho,cocaine
26plus,12,Idaho,cocaine
All,20,Idaho,cocaine
12to17,4,Illinois,cocaine
18to25,62,Illinois,cocaine
26plus,158,Illinois,cocaine
All,224,Illinois,cocaine
12to17,3,Indiana,cocaine
18to25,34,Indiana,cocaine
26plus,51,Indiana,cocaine
All,88,Indiana,cocaine
12to17,1,Iowa,cocaine
18to25,16,Iowa,cocaine
26plus,21,Iowa,cocaine
All,38,Iowa,cocaine
12to17,1,Kansas,cocaine
18to25,16,Kansas,cocaine
26plus,31,Kansas,cocaine
All,49,Kansas,cocaine
12to17,2,Kentucky,cocaine
18to25,21,Kentucky,cocaine
26plus,50,Kentucky,cocaine
All,72,Kentucky,cocaine
12to17,1,Louisiana,cocaine
18to25,22,Louisiana,cocaine
26plus,46,Louisiana,cocaine
All,69,Louisiana,cocaine
12to17,1,Maine,cocaine
18to25,9,Maine,cocaine
26plus,14,Maine,cocaine
All,23,Maine,cocaine
12to17,1,Maryland,cocaine
18to25,26,Maryland,cocaine
26plus,60,Maryland,cocaine
All,88,Maryland,cocaine
12to17,2,Massachusetts,cocaine
18to25,55,Massachusetts,cocaine
26plus,76,Massachusetts,cocaine
All,134,Massachusetts,cocaine
12to17,3,Michigan,cocaine
18to25,64,Michigan,cocaine
26plus,88,Michigan,cocaine
All,154,Michigan,cocaine
12to17,2,Minnesota,cocaine
18to25,34,Minnesota,cocaine
26plus,65,Minnesota,cocaine
All,101,Minnesota,cocaine
12to17,1,Mississippi,cocaine
18to25,11,Mississippi,cocaine
26plus,26,Mississippi,cocaine
All,37,Mississippi,cocaine
12to17,2,Missouri,cocaine
18to25,26,Missouri,cocaine
26plus,40,Missouri,cocaine
All,68,Missouri,cocaine
12to17,0,Montana,cocaine
18to25,8,Montana,cocaine
26plus,11,Montana,cocaine
All,19,Montana,cocaine
12to17,1,Nebraska,cocaine
18to25,13,Nebraska,cocaine
26plus,14,Nebraska,cocaine
All,27,Nebraska,cocaine
12to17,1,Nevada,cocaine
18to25,21,Nevada,cocaine
26plus,48,Nevada,cocaine
All,70,Nevada,cocaine
12to17,1,New Hampshire,cocaine
18to25,13,New Hampshire,cocaine
26plus,18,New Hampshire,cocaine
All,31,New Hampshire,cocaine
12to17,2,New Jersey,cocaine
18to25,41,New Jersey,cocaine
26plus,76,New Jersey,cocaine
All,119,New Jersey,cocaine
12to17,1,New Mexico,cocaine
18to25,11,New Mexico,cocaine
26plus,21,New Mexico,cocaine
All,33,New Mexico,cocaine
12to17,4,New York,cocaine
18to25,131,New York,cocaine
26plus,282,New York,cocaine
All,417,New York,cocaine
12to17,3,North Carolina,cocaine
18to25,55,North Carolina,cocaine
26plus,111,North Carolina,cocaine
All,169,North Carolina,cocaine
12to17,0,North Dakota,cocaine
18to25,4,North Dakota,cocaine
26plus,5,North Dakota,cocaine
All,9,North Dakota,cocaine
12to17,3,Ohio,cocaine
18to25,59,Ohio,cocaine
26plus,109,Ohio,cocaine
All,171,Ohio,cocaine
12to17,1,Oklahoma,cocaine
18to25,18,Oklahoma,cocaine
26plus,34,Oklahoma,cocaine
All,53,Oklahoma,cocaine
12to17,2,Oregon,cocaine
18to25,35,Oregon,cocaine
26plus,67,Oregon,cocaine
All,104,Oregon,cocaine
12to17,4,Pennsylvania,cocaine
18to25,82,Pennsylvania,cocaine
26plus,148,Pennsylvania,cocaine
All,234,Pennsylvania,cocaine
12to17,0,Rhode Island,cocaine
18to25,8,Rhode Island,cocaine
26plus,12,Rhode Island,cocaine
All,20,Rhode Island,cocaine
12to17,1,South Carolina,cocaine
18to25,21,South Carolina,cocaine
26plus,41,South Carolina,cocaine
All,63,South Carolina,cocaine
12to17,0,South Dakota,cocaine
18to25,3,South Dakota,cocaine
26plus,4,South Dakota,cocaine
All,8,South Dakota,cocaine
12to17,2,Tennessee,cocaine
18to25,25,Tennessee,cocaine
26plus,61,Tennessee,cocaine
All,87,Tennessee,cocaine
12to17,11,Texas,cocaine
18to25,128,Texas,cocaine
26plus,207,Texas,cocaine
All,346,Texas,cocaine
12to17,2,Utah,cocaine
18to25,15,Utah,cocaine
26plus,16,Utah,cocaine
All,32,Utah,cocaine
12to17,0,Vermont,cocaine
18to25,7,Vermont,cocaine
26plus,10,Vermont,cocaine
All,17,Vermont,cocaine
12to17,2,Virginia,cocaine
18to25,45,Virginia,cocaine
26plus,80,Virginia,cocaine
All,127,Virginia,cocaine
12to17,3,Washington,cocaine
18to25,46,Washington,cocaine
26plus,95,Washington,cocaine
All,144,Washington,cocaine
12to17,1,West Virginia,cocaine
18to25,8,West Virginia,cocaine
26plus,16,West Virginia,cocaine
All,25,West Virginia,cocaine
12to17,2,Wisconsin,cocaine
18to25,34,Wisconsin,cocaine
26plus,64,Wisconsin,cocaine
All,100,Wisconsin,cocaine
12to17,0,Wyoming,cocaine
18to25,3,Wyoming,cocaine
26plus,4,Wyoming,cocaine
All,8,Wyoming,cocaine
12to17,0,Alabama,heroin
18to25,2,Alabama,heroin
26plus,9,Alabama,heroin
All,11,Alabama,heroin
12to17,0,Alaska,heroin
18to25,0,Alaska,heroin
26plus,3,Alaska,heroin
All,3,Alaska,heroin
12to17,0,Arizona,heroin
18to25,3,Arizona,heroin
26plus,18,Arizona,heroin
All,22,Arizona,heroin
12to17,0,Arkansas,heroin
18to25,1,Arkansas,heroin
26plus,4,Arkansas,heroin
All,5,Arkansas,heroin
12to17,0,California,heroin
18to25,8,California,heroin
26plus,65,California,heroin
